win_y,win_x,center_y_px,center_x_px
0.000000000000000000e+00,0.000000000000000000e+00,5.120000000000000000e+02,6.700000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.120000000000000000e+02,1.750000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+00,5.120000000000000000e+02,2.840000000000000000e+02
0.000000000000000000e+00,3.000000000000000000e+00,5.120000000000000000e+02,3.930000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+00,5.120000000000000000e+02,5.020000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e+00,5.120000000000000000e+02,6.110000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+00,5.120000000000000000e+02,7.200000000000000000e+02
0.000000000000000000e+00,7.000000000000000000e+00,5.120000000000000000e+02,8.290000000000000000e+02
